symbol,name,sector,weight
DCI,DONALDSON CO INC,-,0.015272
DCOM,DIME COMMERCIAL BANCSHARES I,-,0.001861
DD,DUPONT DE NEMOURS INC,-,0.029591
DDOG,DATADOG INC   CLASS A,-,0.11184
DE,DEERE + CO,-,0.212669
DEA,EASTERLY GOVERNMENT PROPERTI,-,0.000946
DECK,DECKERS OUTDOOR CORP,-,0.023526
DEI,DOUGLAS EMMETT INC,-,0.002934
DELL,DELL TECHNOLOGIES  C,-,0.170898
DFH,DREAM FINDERS HOMES INC   A,-,0.002169
DFIN,DONNELLEY FINANCIAL SOLUTION,-,0.001765
DG,DOLLAR GENERAL CORP,-,0.032962
DGII,DIGI INTERNATIONAL INC,-,0.003097
DGX,QUEST DIAGNOSTICS INC,-,0.031838
DHI,DR HORTON INC,-,0.053673
DHR,DANAHER CORP,-,0.16502
DINO,HF SINCLAIR CORP,-,0.016064
DIOD,DIODES INC,-,0.006286
DIS,WALT DISNEY CO/THE,-,0.252572
DKS,DICK S SPORTING GOODS INC,-,0.022867
DLB,DOLBY LABORATORIES INC CL A,-,0.004707
DLR,DIGITAL REALTY TRUST INC,-,0.083564
DLTR,DOLLAR TREE INC,-,0.027833
DLX,DELUXE CORP,-,0.001666
DNOW,DNOW INC,-,0.001553
DOC,HEALTHPEAK PROPERTIES INC,-,0.018951
DOCN,DIGITALOCEAN HOLDINGS INC,-,0.013623
DOCS,DOXIMITY INC CLASS A,-,0.003636
DOCU,DOCUSIGN INC,-,0.014966
DORM,DORMAN PRODUCTS INC,-,0.005531
DOV,DOVER CORP,-,0.044183
DOW,DOW INC,-,0.03551
DPZ,DOMINO S PIZZA INC,-,0.012125
DRH,DIAMONDROCK HOSPITALITY CO,-,0.003702
DRI,DARDEN RESTAURANTS INC,-,0.033704
DT,DYNATRACE INC,-,0.015408
DTE,DTE ENERGY COMPANY,-,0.042949
DTM,DT MIDSTREAM INC,-,0.019799
DUK,DUKE ENERGY CORP,-,0.13638
DUOL,DUOLINGO,-,0.005722
DV,DOUBLEVERIFY HOLDINGS INC,-,0.001954
DVA,DAVITA INC,-,0.006664
DVN,DEVON ENERGY CORP,-,0.078138
DXC,DXC TECHNOLOGY CO,-,0.002645
DXCM,DEXCOM INC,-,0.040834
DXPE,DXP ENTERPRISES INC,-,0.003677
DY,DYCOM INDUSTRIES INC,-,0.022428
EA,ELECTRONIC ARTS INC,-,0.064003
EAT,BRINKER INTERNATIONAL INC,-,0.008021
EBAY,EBAY INC,-,0.07363
ECG,EVERUS CONSTRUCTION GROUP,-,0.011374
ECL,ECOLAB INC,-,0.0924
ECPG,ENCORE CAPITAL GROUP INC,-,0.003706
ED,CONSOLIDATED EDISON INC,-,0.052321
EEFT,EURONET WORLDWIDE INC,-,0.0052
EFC,ELLINGTON FINANCIAL INC,-,0.001053
EFOR,EVERFORTH INC,-,0.001481
EFX,EQUIFAX INC,-,0.029913
EG,EVEREST GROUP LTD,-,0.019697
EGBN,EAGLE BANCORP INC,-,0.001332
EGP,EASTGROUP PROPERTIES INC,-,0.012071
EHC,ENCOMPASS HEALTH CORP,-,0.014813
EIG,EMPLOYERS HOLDINGS INC,-,0.002124
EIX,EDISON INTERNATIONAL,-,0.039222
EL,ESTEE LAUDER COMPANIES CL A,-,0.027492
ELAN,ELANCO ANIMAL HEALTH INC,-,0.017627
ELF,ELF BEAUTY INC,-,0.00416
ELS,EQUITY LIFESTYLE PROPERTIES,-,0.016032
ELV,ELEVANCE HEALTH INC,-,0.126852
EMBC,EMBECTA CORP,-,0.000286
EME,EMCOR GROUP INC,-,0.057602
EMN,EASTMAN CHEMICAL CO,-,0.012473
EMR,EMERSON ELECTRIC CO,-,0.111647
ENOV,ENOVIS CORP,-,0.001301
ENPH,ENPHASE ENERGY INC,-,0.013263
ENR,ENERGIZER HOLDINGS INC,-,0.001609
ENS,ENERSYS,-,0.014907
ENSG,ENSIGN GROUP INC/THE,-,0.012721
ENTG,ENTEGRIS INC,-,0.030366
ENVA,ENOVA INTERNATIONAL INC,-,0.006789
EOG,EOG RESOURCES INC,-,0.111939
EPAC,ENERPAC TOOL GROUP CORP,-,0.003041
EPAM,EPAM SYSTEMS INC,-,0.008094
EPC,EDGEWELL PERSONAL CARE CO,-,0.001545
EPR,EPR PROPERTIES,-,0.006092
EPRT,ESSENTIAL PROPERTIES REALTY,-,0.005253
EQH,EQUITABLE HOLDINGS INC,-,0.018429
EQIX,EQUINIX INC,-,0.147754
EQR,EQUITY RESIDENTIAL,-,0.033799
EQT,EQT CORP,-,0.044855
ERIE,ERIE INDEMNITY COMPANY CL A,-,0.008383
ES,EVERSOURCE ENERGY,-,0.034624
ESAB,ESAB CORP,-,0.007335
ESE,ESCO TECHNOLOGIES INC,-,0.011672
ESI,ELEMENT SOLUTIONS INC,-,0.013464
ESNT,ESSENT GROUP LTD,-,0.008571
ESS,ESSEX PROPERTY TRUST INC,-,0.026047
ETD,ETHAN ALLEN INTERIORS INC,-,0.000866
ETN,EATON CORP PLC,-,0.227788
ETR,ENTERGY CORP,-,0.064705
ETSY,ETSY INC,-,0.011677
EVR,EVERCORE INC   A,-,0.018547
EVRG,EVERGY INC,-,0.027179
EVTC,EVERTEC INC,-,0.001997
EW,EDWARDS LIFESCIENCES CORP,-,0.069945
EWBC,EAST WEST BANCORP INC,-,0.025812
EXC,EXELON CORP,-,0.063441
EXE,EXPAND ENERGY CORP,-,0.026836
EXEL,EXELIXIS INC,-,0.023559
EXLS,EXLSERVICE HOLDINGS INC,-,0.0071
EXP,EAGLE MATERIALS INC,-,0.010753
EXPD,EXPEDITORS INTL WASH INC,-,0.027766
EXPE,EXPEDIA GROUP INC,-,0.036155
EXPO,EXPONENT INC,-,0.004274
EXR,EXTRA SPACE STORAGE INC,-,0.043672
EXTR,EXTREME NETWORKS INC,-,0.005552
EYE,NATIONAL VISION HOLDINGS INC,-,0.001824
EZPW,EZCORP INC CL A,-,0.002498
F,FORD MOTOR CO,-,0.086759
FAF,FIRST AMERICAN FINANCIAL,-,0.010144
FANG,DIAMONDBACK ENERGY INC,-,0.051406
FAST,FASTENAL CO,-,0.078236
FBIN,FORTUNE BRANDS INNOVATIONS I,-,0.007138
FBK,FB FINANCIAL CORP,-,0.001756
FBNC,FIRST BANCORP/NC,-,0.001336
FBP,FIRST BANCORP PUERTO RICO,-,0.007335
FBRT,FRANKLIN BSP REALTY TRUST IN,-,0.000572
FCF,FIRST COMMONWEALTH FINL CORP,-,0.00281
FCFS,FIRSTCASH HOLDINGS INC,-,0.013583
FCN,FTI CONSULTING INC,-,0.007257
FCPT,FOUR CORNERS PROPERTY TRUST,-,0.002661
FCX,FREEPORT MCMORAN INC,-,0.146375
FDP,FRESH DEL MONTE PRODUCE INC,-,0.001413
FDS,FACTSET RESEARCH SYSTEMS INC,-,0.014135
FDX,FEDEX CORP,-,0.098653
FDXF,FEDEX FREIGHT HOLDING CO,-,0.023717
FE,FIRSTENERGY CORP,-,0.034159
FELE,FRANKLIN ELECTRIC CO INC,-,0.005854
FFBC,FIRST FINANCIAL BANCORP,-,0.003978
FFIN,FIRST FINL BANKSHARES INC,-,0.006505
FFIV,F5 INC,-,0.036604
FG,F+G ANNUITIES + LIFE INC,-,0.00145
FHB,FIRST HAWAIIAN INC,-,0.005198
FHI,FEDERATED HERMES INC,-,0.007602
FHN,FIRST HORIZON CORP,-,0.017365
FIBK,FIRST INTERSTATE BANCSYS A,-,0.004652
FICO,FAIR ISAAC CORP,-,0.041227
FIS,FIDELITY NATIONAL INFO SERV,-,0.031819
FISV,FISERV INC,-,0.044082
FITB,FIFTH THIRD BANCORP,-,0.070433
FIVE,FIVE BELOW,-,0.015631
FIX,COMFORT SYSTEMS USA INC,-,0.092882
FIZZ,NATIONAL BEVERAGE CORP,-,0.00142
FLEX,FLEX LTD,-,0.090688
FLG,FLAGSTAR BANK NA,-,0.004859
FLO,FLOWERS FOODS INC,-,0.001944
FLR,FLUOR CORP,-,0.012404
FLS,FLOWSERVE CORP,-,0.014797
